Datekey,Date,Day_Of_Month,Day_Name,Day_Of_Week,Month,Month_Name,Wk_StartDate,Wk_EndDate,Week_Of_Month,Year,Month_Year,IsWeekday,IsHoliday,DateStyle1,DateStyle2,DateStyle3,DateStyle4
43041,02/11/2017,2,Thursday,5,11,November,29/10/2017,04/11/2017,November Week 1,2017,Nov-2017,Weekday,,2 November 2017,"Thursday, November 2, 2017",2 Nov 2017,2 Nov 
43042,03/11/2017,3,Friday,6,11,November,29/10/2017,04/11/2017,November Week 1,2017,Nov-2017,Weekday,,3 November 2017,"Friday, November 3, 2017",3 Nov 2017,3 Nov 
43043,04/11/2017,4,Saturday,7,11,November,29/10/2017,04/11/2017,November Week 1,2017,Nov-2017,Weekend,,4 November 2017,"Saturday, November 4, 2017",4 Nov 2017,4 Nov 
43044,05/11/2017,5,Sunday,1,11,November,05/11/2017,11/11/2017,November Week 2,2017,Nov-2017,Weekend,,5 November 2017,"Sunday, November 5, 2017",5 Nov 2017,5 Nov 
43045,06/11/2017,6,Monday,2,11,November,05/11/2017,11/11/2017,November Week 2,2017,Nov-2017,Weekday,,6 November 2017,"Monday, November 6, 2017",6 Nov 2017,6 Nov 
43046,07/11/2017,7,Tuesday,3,11,November,05/11/2017,11/11/2017,November Week 2,2017,Nov-2017,Weekday,,7 November 2017,"Tuesday, November 7, 2017",7 Nov 2017,7 Nov 
43047,08/11/2017,8,Wednesday,4,11,November,05/11/2017,11/11/2017,November Week 2,2017,Nov-2017,Weekday,,8 November 2017,"Wednesday, November 8, 2017",8 Nov 2017,8 Nov 
43048,09/11/2017,9,Thursday,5,11,November,05/11/2017,11/11/2017,November Week 2,2017,Nov-2017,Weekday,,9 November 2017,"Thursday, November 9, 2017",9 Nov 2017,9 Nov 
43049,10/11/2017,10,Friday,6,11,November,05/11/2017,11/11/2017,November Week 2,2017,Nov-2017,Weekday,,10 November 2017,"Friday, November 10, 2017",10 Nov 2017,10 Nov 
43050,11/11/2017,11,Saturday,7,11,November,05/11/2017,11/11/2017,November Week 2,2017,Nov-2017,Weekend,,11 November 2017,"Saturday, November 11, 2017",11 Nov 2017,11 Nov 
43051,12/11/2017,12,Sunday,1,11,November,12/11/2017,18/11/2017,November Week 3,2017,Nov-2017,Weekend,,12 November 2017,"Sunday, November 12, 2017",12 Nov 2017,12 Nov 
43052,13/11/2017,13,Monday,2,11,November,12/11/2017,18/11/2017,November Week 3,2017,Nov-2017,Weekday,,13 November 2017,"Monday, November 13, 2017",13 Nov 2017,13 Nov 
43053,14/11/2017,14,Tuesday,3,11,November,12/11/2017,18/11/2017,November Week 3,2017,Nov-2017,Weekday,,14 November 2017,"Tuesday, November 14, 2017",14 Nov 2017,14 Nov 
43054,15/11/2017,15,Wednesday,4,11,November,12/11/2017,18/11/2017,November Week 3,2017,Nov-2017,Weekday,,15 November 2017,"Wednesday, November 15, 2017",15 Nov 2017,15 Nov 
43055,16/11/2017,16,Thursday,5,11,November,12/11/2017,18/11/2017,November Week 3,2017,Nov-2017,Weekday,,16 November 2017,"Thursday, November 16, 2017",16 Nov 2017,16 Nov 
43056,17/11/2017,17,Friday,6,11,November,12/11/2017,18/11/2017,November Week 3,2017,Nov-2017,Weekday,,17 November 2017,"Friday, November 17, 2017",17 Nov 2017,17 Nov 
43057,18/11/2017,18,Saturday,7,11,November,12/11/2017,18/11/2017,November Week 3,2017,Nov-2017,Weekend,,18 November 2017,"Saturday, November 18, 2017",18 Nov 2017,18 Nov 
43058,19/11/2017,19,Sunday,1,11,November,19/11/2017,25/11/2017,November Week 4,2017,Nov-2017,Weekend,,19 November 2017,"Sunday, November 19, 2017",19 Nov 2017,19 Nov 
43059,20/11/2017,20,Monday,2,11,November,19/11/2017,25/11/2017,November Week 4,2017,Nov-2017,Weekday,,20 November 2017,"Monday, November 20, 2017",20 Nov 2017,20 Nov 
43060,21/11/2017,21,Tuesday,3,11,November,19/11/2017,25/11/2017,November Week 4,2017,Nov-2017,Weekday,,21 November 2017,"Tuesday, November 21, 2017",21 Nov 2017,21 Nov 
43061,22/11/2017,22,Wednesday,4,11,November,19/11/2017,25/11/2017,November Week 4,2017,Nov-2017,Weekday,,22 November 2017,"Wednesday, November 22, 2017",22 Nov 2017,22 Nov 
43062,23/11/2017,23,Thursday,5,11,November,19/11/2017,25/11/2017,November Week 4,2017,Nov-2017,Weekday,,23 November 2017,"Thursday, November 23, 2017",23 Nov 2017,23 Nov 
43063,24/11/2017,24,Friday,6,11,November,19/11/2017,25/11/2017,November Week 4,2017,Nov-2017,Weekday,,24 November 2017,"Friday, November 24, 2017",24 Nov 2017,24 Nov 
43064,25/11/2017,25,Saturday,7,11,November,19/11/2017,25/11/2017,November Week 4,2017,Nov-2017,Weekend,,25 November 2017,"Saturday, November 25, 2017",25 Nov 2017,25 Nov 
43065,26/11/2017,26,Sunday,1,11,November,26/11/2017,02/12/2017,November Week 5,2017,Nov-2017,Weekend,,26 November 2017,"Sunday, November 26, 2017",26 Nov 2017,26 Nov 
43066,27/11/2017,27,Monday,2,11,November,26/11/2017,02/12/2017,November Week 5,2017,Nov-2017,Weekday,,27 November 2017,"Monday, November 27, 2017",27 Nov 2017,27 Nov 
43067,28/11/2017,28,Tuesday,3,11,November,26/11/2017,02/12/2017,November Week 5,2017,Nov-2017,Weekday,,28 November 2017,"Tuesday, November 28, 2017",28 Nov 2017,28 Nov 
43068,29/11/2017,29,Wednesday,4,11,November,26/11/2017,02/12/2017,November Week 5,2017,Nov-2017,Weekday,,29 November 2017,"Wednesday, November 29, 2017",29 Nov 2017,29 Nov 
43069,30/11/2017,30,Thursday,5,11,November,26/11/2017,02/12/2017,November Week 5,2017,Nov-2017,Weekday,,30 November 2017,"Thursday, November 30, 2017",30 Nov 2017,30 Nov 
43070,01/12/2017,1,Friday,6,12,December,26/11/2017,02/12/2017,December Week 1,2017,Dec-2017,Weekday,,1 December 2017,"Friday, December 1, 2017",1 Dec 2017,1 Dec 
43071,02/12/2017,2,Saturday,7,12,December,26/11/2017,02/12/2017,December Week 1,2017,Dec-2017,Weekend,,2 December 2017,"Saturday, December 2, 2017",2 Dec 2017,2 Dec 
43072,03/12/2017,3,Sunday,1,12,December,03/12/2017,09/12/2017,December Week 2,2017,Dec-2017,Weekend,,3 December 2017,"Sunday, December 3, 2017",3 Dec 2017,3 Dec 
43073,04/12/2017,4,Monday,2,12,December,03/12/2017,09/12/2017,December Week 2,2017,Dec-2017,Weekday,,4 December 2017,"Monday, December 4, 2017",4 Dec 2017,4 Dec 
43074,05/12/2017,5,Tuesday,3,12,December,03/12/2017,09/12/2017,December Week 2,2017,Dec-2017,Weekday,,5 December 2017,"Tuesday, December 5, 2017",5 Dec 2017,5 Dec 
43075,06/12/2017,6,Wednesday,4,12,December,03/12/2017,09/12/2017,December Week 2,2017,Dec-2017,Weekday,,6 December 2017,"Wednesday, December 6, 2017",6 Dec 2017,6 Dec 
43076,07/12/2017,7,Thursday,5,12,December,03/12/2017,09/12/2017,December Week 2,2017,Dec-2017,Weekday,,7 December 2017,"Thursday, December 7, 2017",7 Dec 2017,7 Dec 
43077,08/12/2017,8,Friday,6,12,December,03/12/2017,09/12/2017,December Week 2,2017,Dec-2017,Weekday,,8 December 2017,"Friday, December 8, 2017",8 Dec 2017,8 Dec 
43078,09/12/2017,9,Saturday,7,12,December,03/12/2017,09/12/2017,December Week 2,2017,Dec-2017,Weekend,,9 December 2017,"Saturday, December 9, 2017",9 Dec 2017,9 Dec 
43079,10/12/2017,10,Sunday,1,12,December,10/12/2017,16/12/2017,December Week 3,2017,Dec-2017,Weekend,,10 December 2017,"Sunday, December 10, 2017",10 Dec 2017,10 Dec 
43080,11/12/2017,11,Monday,2,12,December,10/12/2017,16/12/2017,December Week 3,2017,Dec-2017,Weekday,,11 December 2017,"Monday, December 11, 2017",11 Dec 2017,11 Dec 
43081,12/12/2017,12,Tuesday,3,12,December,10/12/2017,16/12/2017,December Week 3,2017,Dec-2017,Weekday,,12 December 2017,"Tuesday, December 12, 2017",12 Dec 2017,12 Dec 
43082,13/12/2017,13,Wednesday,4,12,December,10/12/2017,16/12/2017,December Week 3,2017,Dec-2017,Weekday,,13 December 2017,"Wednesday, December 13, 2017",13 Dec 2017,13 Dec 
43083,14/12/2017,14,Thursday,5,12,December,10/12/2017,16/12/2017,December Week 3,2017,Dec-2017,Weekday,,14 December 2017,"Thursday, December 14, 2017",14 Dec 2017,14 Dec 
43084,15/12/2017,15,Friday,6,12,December,10/12/2017,16/12/2017,December Week 3,2017,Dec-2017,Weekday,,15 December 2017,"Friday, December 15, 2017",15 Dec 2017,15 Dec 
43085,16/12/2017,16,Saturday,7,12,December,10/12/2017,16/12/2017,December Week 3,2017,Dec-2017,Weekend,,16 December 2017,"Saturday, December 16, 2017",16 Dec 2017,16 Dec 
43086,17/12/2017,17,Sunday,1,12,December,17/12/2017,23/12/2017,December Week 4,2017,Dec-2017,Weekend,,17 December 2017,"Sunday, December 17, 2017",17 Dec 2017,17 Dec 
43087,18/12/2017,18,Monday,2,12,December,17/12/2017,23/12/2017,December Week 4,2017,Dec-2017,Weekday,,18 December 2017,"Monday, December 18, 2017",18 Dec 2017,18 Dec 
43088,19/12/2017,19,Tuesday,3,12,December,17/12/2017,23/12/2017,December Week 4,2017,Dec-2017,Weekday,,19 December 2017,"Tuesday, December 19, 2017",19 Dec 2017,19 Dec 
43089,20/12/2017,20,Wednesday,4,12,December,17/12/2017,23/12/2017,December Week 4,2017,Dec-2017,Weekday,,20 December 2017,"Wednesday, December 20, 2017",20 Dec 2017,20 Dec 
43090,21/12/2017,21,Thursday,5,12,December,17/12/2017,23/12/2017,December Week 4,2017,Dec-2017,Weekday,,21 December 2017,"Thursday, December 21, 2017",21 Dec 2017,21 Dec 
43091,22/12/2017,22,Friday,6,12,December,17/12/2017,23/12/2017,December Week 4,2017,Dec-2017,Weekday,,22 December 2017,"Friday, December 22, 2017",22 Dec 2017,22 Dec 
43092,23/12/2017,23,Saturday,7,12,December,17/12/2017,23/12/2017,December Week 4,2017,Dec-2017,Weekend,,23 December 2017,"Saturday, December 23, 2017",23 Dec 2017,23 Dec 
43093,24/12/2017,24,Sunday,1,12,December,24/12/2017,30/12/2017,December Week 5,2017,Dec-2017,Weekend,,24 December 2017,"Sunday, December 24, 2017",24 Dec 2017,24 Dec 
43094,25/12/2017,25,Monday,2,12,December,24/12/2017,30/12/2017,December Week 5,2017,Dec-2017,Weekday,,25 December 2017,"Monday, December 25, 2017",25 Dec 2017,25 Dec 
43095,26/12/2017,26,Tuesday,3,12,December,24/12/2017,30/12/2017,December Week 5,2017,Dec-2017,Weekday,,26 December 2017,"Tuesday, December 26, 2017",26 Dec 2017,26 Dec 
43096,27/12/2017,27,Wednesday,4,12,December,24/12/2017,30/12/2017,December Week 5,2017,Dec-2017,Weekday,,27 December 2017,"Wednesday, December 27, 2017",27 Dec 2017,27 Dec 
43097,28/12/2017,28,Thursday,5,12,December,24/12/2017,30/12/2017,December Week 5,2017,Dec-2017,Weekday,,28 December 2017,"Thursday, December 28, 2017",28 Dec 2017,28 Dec 
43098,29/12/2017,29,Friday,6,12,December,24/12/2017,30/12/2017,December Week 5,2017,Dec-2017,Weekday,,29 December 2017,"Friday, December 29, 2017",29 Dec 2017,29 Dec 
43099,30/12/2017,30,Saturday,7,12,December,24/12/2017,30/12/2017,December Week 5,2017,Dec-2017,Weekend,,30 December 2017,"Saturday, December 30, 2017",30 Dec 2017,30 Dec 
43100,31/12/2017,31,Sunday,1,12,December,31/12/2017,06/01/2018,December Week 6,2017,Dec-2017,Weekend,,31 December 2017,"Sunday, December 31, 2017",31 Dec 2017,31 Dec 
43101,01/01/2018,1,Monday,2,1,January,31/12/2017,06/01/2018,January Week 1,2018,Jan-2018,Weekday,,1 January 2018,"Monday, January 1, 2018",1 Jan 2018,1 Jan 
43102,02/01/2018,2,Tuesday,3,1,January,31/12/2017,06/01/2018,January Week 1,2018,Jan-2018,Weekday,,2 January 2018,"Tuesday, January 2, 2018",2 Jan 2018,2 Jan 
43103,03/01/2018,3,Wednesday,4,1,January,31/12/2017,06/01/2018,January Week 1,2018,Jan-2018,Weekday,,3 January 2018,"Wednesday, January 3, 2018",3 Jan 2018,3 Jan 
43104,04/01/2018,4,Thursday,5,1,January,31/12/2017,06/01/2018,January Week 1,2018,Jan-2018,Weekday,,4 January 2018,"Thursday, January 4, 2018",4 Jan 2018,4 Jan 
43105,05/01/2018,5,Friday,6,1,January,31/12/2017,06/01/2018,January Week 1,2018,Jan-2018,Weekday,,5 January 2018,"Friday, January 5, 2018",5 Jan 2018,5 Jan 
43106,06/01/2018,6,Saturday,7,1,January,31/12/2017,06/01/2018,January Week 1,2018,Jan-2018,Weekend,,6 January 2018,"Saturday, January 6, 2018",6 Jan 2018,6 Jan 
43107,07/01/2018,7,Sunday,1,1,January,07/01/2018,13/01/2018,January Week 2,2018,Jan-2018,Weekend,,7 January 2018,"Sunday, January 7, 2018",7 Jan 2018,7 Jan 
43108,08/01/2018,8,Monday,2,1,January,07/01/2018,13/01/2018,January Week 2,2018,Jan-2018,Weekday,,8 January 2018,"Monday, January 8, 2018",8 Jan 2018,8 Jan 
43109,09/01/2018,9,Tuesday,3,1,January,07/01/2018,13/01/2018,January Week 2,2018,Jan-2018,Weekday,,9 January 2018,"Tuesday, January 9, 2018",9 Jan 2018,9 Jan 
43110,10/01/2018,10,Wednesday,4,1,January,07/01/2018,13/01/2018,January Week 2,2018,Jan-2018,Weekday,,10 January 2018,"Wednesday, January 10, 2018",10 Jan 2018,10 Jan 
43111,11/01/2018,11,Thursday,5,1,January,07/01/2018,13/01/2018,January Week 2,2018,Jan-2018,Weekday,,11 January 2018,"Thursday, January 11, 2018",11 Jan 2018,11 Jan 
43112,12/01/2018,12,Friday,6,1,January,07/01/2018,13/01/2018,January Week 2,2018,Jan-2018,Weekday,,12 January 2018,"Friday, January 12, 2018",12 Jan 2018,12 Jan 
43113,13/01/2018,13,Saturday,7,1,January,07/01/2018,13/01/2018,January Week 2,2018,Jan-2018,Weekend,,13 January 2018,"Saturday, January 13, 2018",13 Jan 2018,13 Jan 
43114,14/01/2018,14,Sunday,1,1,January,14/01/2018,20/01/2018,January Week 3,2018,Jan-2018,Weekend,,14 January 2018,"Sunday, January 14, 2018",14 Jan 2018,14 Jan 
43115,15/01/2018,15,Monday,2,1,January,14/01/2018,20/01/2018,January Week 3,2018,Jan-2018,Weekday,,15 January 2018,"Monday, January 15, 2018",15 Jan 2018,15 Jan 
43116,16/01/2018,16,Tuesday,3,1,January,14/01/2018,20/01/2018,January Week 3,2018,Jan-2018,Weekday,,16 January 2018,"Tuesday, January 16, 2018",16 Jan 2018,16 Jan 
43117,17/01/2018,17,Wednesday,4,1,January,14/01/2018,20/01/2018,January Week 3,2018,Jan-2018,Weekday,,17 January 2018,"Wednesday, January 17, 2018",17 Jan 2018,17 Jan 
43118,18/01/2018,18,Thursday,5,1,January,14/01/2018,20/01/2018,January Week 3,2018,Jan-2018,Weekday,,18 January 2018,"Thursday, January 18, 2018",18 Jan 2018,18 Jan 
43119,19/01/2018,19,Friday,6,1,January,14/01/2018,20/01/2018,January Week 3,2018,Jan-2018,Weekday,,19 January 2018,"Friday, January 19, 2018",19 Jan 2018,19 Jan 
43120,20/01/2018,20,Saturday,7,1,January,14/01/2018,20/01/2018,January Week 3,2018,Jan-2018,Weekend,,20 January 2018,"Saturday, January 20, 2018",20 Jan 2018,20 Jan 
43121,21/01/2018,21,Sunday,1,1,January,21/01/2018,27/01/2018,January Week 4,2018,Jan-2018,Weekend,,21 January 2018,"Sunday, January 21, 2018",21 Jan 2018,21 Jan 
43122,22/01/2018,22,Monday,2,1,January,21/01/2018,27/01/2018,January Week 4,2018,Jan-2018,Weekday,,22 January 2018,"Monday, January 22, 2018",22 Jan 2018,22 Jan 
43123,23/01/2018,23,Tuesday,3,1,January,21/01/2018,27/01/2018,January Week 4,2018,Jan-2018,Weekday,,23 January 2018,"Tuesday, January 23, 2018",23 Jan 2018,23 Jan 
43124,24/01/2018,24,Wednesday,4,1,January,21/01/2018,27/01/2018,January Week 4,2018,Jan-2018,Weekday,,24 January 2018,"Wednesday, January 24, 2018",24 Jan 2018,24 Jan 
43125,25/01/2018,25,Thursday,5,1,January,21/01/2018,27/01/2018,January Week 4,2018,Jan-2018,Weekday,,25 January 2018,"Thursday, January 25, 2018",25 Jan 2018,25 Jan 
43126,26/01/2018,26,Friday,6,1,January,21/01/2018,27/01/2018,January Week 4,2018,Jan-2018,Weekday,,26 January 2018,"Friday, January 26, 2018",26 Jan 2018,26 Jan 
43127,27/01/2018,27,Saturday,7,1,January,21/01/2018,27/01/2018,January Week 4,2018,Jan-2018,Weekend,,27 January 2018,"Saturday, January 27, 2018",27 Jan 2018,27 Jan 
43128,28/01/2018,28,Sunday,1,1,January,28/01/2018,03/02/2018,January Week 5,2018,Jan-2018,Weekend,,28 January 2018,"Sunday, January 28, 2018",28 Jan 2018,28 Jan 
43129,29/01/2018,29,Monday,2,1,January,28/01/2018,03/02/2018,January Week 5,2018,Jan-2018,Weekday,,29 January 2018,"Monday, January 29, 2018",29 Jan 2018,29 Jan 
43130,30/01/2018,30,Tuesday,3,1,January,28/01/2018,03/02/2018,January Week 5,2018,Jan-2018,Weekday,,30 January 2018,"Tuesday, January 30, 2018",30 Jan 2018,30 Jan 
43131,31/01/2018,31,Wednesday,4,1,January,28/01/2018,03/02/2018,January Week 5,2018,Jan-2018,Weekday,,31 January 2018,"Wednesday, January 31, 2018",31 Jan 2018,31 Jan 
43132,01/02/2018,1,Thursday,5,2,February,28/01/2018,03/02/2018,February Week 1,2018,Feb-2018,Weekday,,1 February 2018,"Thursday, February 1, 2018",1 Feb 2018,1 Feb 
43133,02/02/2018,2,Friday,6,2,February,28/01/2018,03/02/2018,February Week 1,2018,Feb-2018,Weekday,,2 February 2018,"Friday, February 2, 2018",2 Feb 2018,2 Feb 
43134,03/02/2018,3,Saturday,7,2,February,28/01/2018,03/02/2018,February Week 1,2018,Feb-2018,Weekend,,3 February 2018,"Saturday, February 3, 2018",3 Feb 2018,3 Feb 
43135,04/02/2018,4,Sunday,1,2,February,04/02/2018,10/02/2018,February Week 2,2018,Feb-2018,Weekend,,4 February 2018,"Sunday, February 4, 2018",4 Feb 2018,4 Feb 
43136,05/02/2018,5,Monday,2,2,February,04/02/2018,10/02/2018,February Week 2,2018,Feb-2018,Weekday,,5 February 2018,"Monday, February 5, 2018",5 Feb 2018,5 Feb 
43137,06/02/2018,6,Tuesday,3,2,February,04/02/2018,10/02/2018,February Week 2,2018,Feb-2018,Weekday,,6 February 2018,"Tuesday, February 6, 2018",6 Feb 2018,6 Feb 
43138,07/02/2018,7,Wednesday,4,2,February,04/02/2018,10/02/2018,February Week 2,2018,Feb-2018,Weekday,,7 February 2018,"Wednesday, February 7, 2018",7 Feb 2018,7 Feb 
43139,08/02/2018,8,Thursday,5,2,February,04/02/2018,10/02/2018,February Week 2,2018,Feb-2018,Weekday,,8 February 2018,"Thursday, February 8, 2018",8 Feb 2018,8 Feb 
43140,09/02/2018,9,Friday,6,2,February,04/02/2018,10/02/2018,February Week 2,2018,Feb-2018,Weekday,,9 February 2018,"Friday, February 9, 2018",9 Feb 2018,9 Feb 
43141,10/02/2018,10,Saturday,7,2,February,04/02/2018,10/02/2018,February Week 2,2018,Feb-2018,Weekend,,10 February 2018,"Saturday, February 10, 2018",10 Feb 2018,10 Feb 
43142,11/02/2018,11,Sunday,1,2,February,11/02/2018,17/02/2018,February Week 3,2018,Feb-2018,Weekend,,11 February 2018,"Sunday, February 11, 2018",11 Feb 2018,11 Feb 
43143,12/02/2018,12,Monday,2,2,February,11/02/2018,17/02/2018,February Week 3,2018,Feb-2018,Weekday,,12 February 2018,"Monday, February 12, 2018",12 Feb 2018,12 Feb 
43144,13/02/2018,13,Tuesday,3,2,February,11/02/2018,17/02/2018,February Week 3,2018,Feb-2018,Weekday,,13 February 2018,"Tuesday, February 13, 2018",13 Feb 2018,13 Feb 
43145,14/02/2018,14,Wednesday,4,2,February,11/02/2018,17/02/2018,February Week 3,2018,Feb-2018,Weekday,,14 February 2018,"Wednesday, February 14, 2018",14 Feb 2018,14 Feb 
43146,15/02/2018,15,Thursday,5,2,February,11/02/2018,17/02/2018,February Week 3,2018,Feb-2018,Weekday,,15 February 2018,"Thursday, February 15, 2018",15 Feb 2018,15 Feb 
43147,16/02/2018,16,Friday,6,2,February,11/02/2018,17/02/2018,February Week 3,2018,Feb-2018,Weekday,,16 February 2018,"Friday, February 16, 2018",16 Feb 2018,16 Feb 
43148,17/02/2018,17,Saturday,7,2,February,11/02/2018,17/02/2018,February Week 3,2018,Feb-2018,Weekend,,17 February 2018,"Saturday, February 17, 2018",17 Feb 2018,17 Feb 
43149,18/02/2018,18,Sunday,1,2,February,18/02/2018,24/02/2018,February Week 4,2018,Feb-2018,Weekend,,18 February 2018,"Sunday, February 18, 2018",18 Feb 2018,18 Feb 
43150,19/02/2018,19,Monday,2,2,February,18/02/2018,24/02/2018,February Week 4,2018,Feb-2018,Weekday,,19 February 2018,"Monday, February 19, 2018",19 Feb 2018,19 Feb 
43151,20/02/2018,20,Tuesday,3,2,February,18/02/2018,24/02/2018,February Week 4,2018,Feb-2018,Weekday,,20 February 2018,"Tuesday, February 20, 2018",20 Feb 2018,20 Feb 
43152,21/02/2018,21,Wednesday,4,2,February,18/02/2018,24/02/2018,February Week 4,2018,Feb-2018,Weekday,,21 February 2018,"Wednesday, February 21, 2018",21 Feb 2018,21 Feb 
43153,22/02/2018,22,Thursday,5,2,February,18/02/2018,24/02/2018,February Week 4,2018,Feb-2018,Weekday,,22 February 2018,"Thursday, February 22, 2018",22 Feb 2018,22 Feb 
43154,23/02/2018,23,Friday,6,2,February,18/02/2018,24/02/2018,February Week 4,2018,Feb-2018,Weekday,,23 February 2018,"Friday, February 23, 2018",23 Feb 2018,23 Feb 
43155,24/02/2018,24,Saturday,7,2,February,18/02/2018,24/02/2018,February Week 4,2018,Feb-2018,Weekend,,24 February 2018,"Saturday, February 24, 2018",24 Feb 2018,24 Feb 
43156,25/02/2018,25,Sunday,1,2,February,25/02/2018,03/03/2018,February Week 5,2018,Feb-2018,Weekend,,25 February 2018,"Sunday, February 25, 2018",25 Feb 2018,25 Feb 
43157,26/02/2018,26,Monday,2,2,February,25/02/2018,03/03/2018,February Week 5,2018,Feb-2018,Weekday,,26 February 2018,"Monday, February 26, 2018",26 Feb 2018,26 Feb 
43158,27/02/2018,27,Tuesday,3,2,February,25/02/2018,03/03/2018,February Week 5,2018,Feb-2018,Weekday,,27 February 2018,"Tuesday, February 27, 2018",27 Feb 2018,27 Feb 
43159,28/02/2018,28,Wednesday,4,2,February,25/02/2018,03/03/2018,February Week 5,2018,Feb-2018,Weekday,,28 February 2018,"Wednesday, February 28, 2018",28 Feb 2018,28 Feb 
43160,01/03/2018,1,Thursday,5,3,March,25/02/2018,03/03/2018,March Week 1,2018,Mar-2018,Weekday,,1 March 2018,"Thursday, March 1, 2018",1 Mar 2018,1 Mar 
43161,02/03/2018,2,Friday,6,3,March,25/02/2018,03/03/2018,March Week 1,2018,Mar-2018,Weekday,,2 March 2018,"Friday, March 2, 2018",2 Mar 2018,2 Mar 
43162,03/03/2018,3,Saturday,7,3,March,25/02/2018,03/03/2018,March Week 1,2018,Mar-2018,Weekend,,3 March 2018,"Saturday, March 3, 2018",3 Mar 2018,3 Mar 
43163,04/03/2018,4,Sunday,1,3,March,04/03/2018,10/03/2018,March Week 2,2018,Mar-2018,Weekend,,4 March 2018,"Sunday, March 4, 2018",4 Mar 2018,4 Mar 
43164,05/03/2018,5,Monday,2,3,March,04/03/2018,10/03/2018,March Week 2,2018,Mar-2018,Weekday,,5 March 2018,"Monday, March 5, 2018",5 Mar 2018,5 Mar 
43165,06/03/2018,6,Tuesday,3,3,March,04/03/2018,10/03/2018,March Week 2,2018,Mar-2018,Weekday,,6 March 2018,"Tuesday, March 6, 2018",6 Mar 2018,6 Mar 
43166,07/03/2018,7,Wednesday,4,3,March,04/03/2018,10/03/2018,March Week 2,2018,Mar-2018,Weekday,,7 March 2018,"Wednesday, March 7, 2018",7 Mar 2018,7 Mar 
43167,08/03/2018,8,Thursday,5,3,March,04/03/2018,10/03/2018,March Week 2,2018,Mar-2018,Weekday,,8 March 2018,"Thursday, March 8, 2018",8 Mar 2018,8 Mar 
43168,09/03/2018,9,Friday,6,3,March,04/03/2018,10/03/2018,March Week 2,2018,Mar-2018,Weekday,,9 March 2018,"Friday, March 9, 2018",9 Mar 2018,9 Mar 
43169,10/03/2018,10,Saturday,7,3,March,04/03/2018,10/03/2018,March Week 2,2018,Mar-2018,Weekend,,10 March 2018,"Saturday, March 10, 2018",10 Mar 2018,10 Mar 
43170,11/03/2018,11,Sunday,1,3,March,11/03/2018,17/03/2018,March Week 3,2018,Mar-2018,Weekend,,11 March 2018,"Sunday, March 11, 2018",11 Mar 2018,11 Mar 
43171,12/03/2018,12,Monday,2,3,March,11/03/2018,17/03/2018,March Week 3,2018,Mar-2018,Weekday,,12 March 2018,"Monday, March 12, 2018",12 Mar 2018,12 Mar 
43172,13/03/2018,13,Tuesday,3,3,March,11/03/2018,17/03/2018,March Week 3,2018,Mar-2018,Weekday,,13 March 2018,"Tuesday, March 13, 2018",13 Mar 2018,13 Mar 
43173,14/03/2018,14,Wednesday,4,3,March,11/03/2018,17/03/2018,March Week 3,2018,Mar-2018,Weekday,,14 March 2018,"Wednesday, March 14, 2018",14 Mar 2018,14 Mar 
43174,15/03/2018,15,Thursday,5,3,March,11/03/2018,17/03/2018,March Week 3,2018,Mar-2018,Weekday,,15 March 2018,"Thursday, March 15, 2018",15 Mar 2018,15 Mar 
43175,16/03/2018,16,Friday,6,3,March,11/03/2018,17/03/2018,March Week 3,2018,Mar-2018,Weekday,,16 March 2018,"Friday, March 16, 2018",16 Mar 2018,16 Mar 
43176,17/03/2018,17,Saturday,7,3,March,11/03/2018,17/03/2018,March Week 3,2018,Mar-2018,Weekend,,17 March 2018,"Saturday, March 17, 2018",17 Mar 2018,17 Mar 
43177,18/03/2018,18,Sunday,1,3,March,18/03/2018,24/03/2018,March Week 4,2018,Mar-2018,Weekend,,18 March 2018,"Sunday, March 18, 2018",18 Mar 2018,18 Mar 
43178,19/03/2018,19,Monday,2,3,March,18/03/2018,24/03/2018,March Week 4,2018,Mar-2018,Weekday,,19 March 2018,"Monday, March 19, 2018",19 Mar 2018,19 Mar 
43179,20/03/2018,20,Tuesday,3,3,March,18/03/2018,24/03/2018,March Week 4,2018,Mar-2018,Weekday,,20 March 2018,"Tuesday, March 20, 2018",20 Mar 2018,20 Mar 
43180,21/03/2018,21,Wednesday,4,3,March,18/03/2018,24/03/2018,March Week 4,2018,Mar-2018,Weekday,,21 March 2018,"Wednesday, March 21, 2018",21 Mar 2018,21 Mar 
43181,22/03/2018,22,Thursday,5,3,March,18/03/2018,24/03/2018,March Week 4,2018,Mar-2018,Weekday,,22 March 2018,"Thursday, March 22, 2018",22 Mar 2018,22 Mar 
43182,23/03/2018,23,Friday,6,3,March,18/03/2018,24/03/2018,March Week 4,2018,Mar-2018,Weekday,,23 March 2018,"Friday, March 23, 2018",23 Mar 2018,23 Mar 
43183,24/03/2018,24,Saturday,7,3,March,18/03/2018,24/03/2018,March Week 4,2018,Mar-2018,Weekend,,24 March 2018,"Saturday, March 24, 2018",24 Mar 2018,24 Mar 
43184,25/03/2018,25,Sunday,1,3,March,25/03/2018,31/03/2018,March Week 5,2018,Mar-2018,Weekend,,25 March 2018,"Sunday, March 25, 2018",25 Mar 2018,25 Mar 
